"Data Product ID","Term Name","Term Unit","Condition UUID","Named Location Name","Named Location Description","Annual/Seasonal","Seasonal DOY Start","Seasonal DOY End","Start DateTime","End DateTime","Persistence (change)","Persistence (time - seconds)","Delta test value","Despiking maximum consecutive points (n)","Despiking window step - points.","Delta Test window step - points","Despiking count threshold (%)","Sigma test window step - points","StdDev multiplier for Max Sigma","Historical derived StdDev","StdDev multiplier for Max Range","Max Sigma Test","Despiking maximum (%) missing points per window","Historical derived mean","Range Threshold Hard Min","Sigma test window size - points","Range Threshold Soft Min","Gap Test value - # missing points","Delta test window size - points","StdDev multiplier for Min Range","Despiking MAD","Range Threshold Hard Max","Range Threshold Soft Max","Step Test value","StdDev multiplier for Min Sigma","Despiking window size - points","Despiking Method","Max SigmaTest"
"NEON.DOM.SITE.DP0.00002.001","PRTResistance","ohm","0474a180-7a1b-20b4-a7c1-83ce56abd2da","ORNL","Oak Ridge Site, CORE","Annual","","","2000-01-01T00:00:00.000Z","","0.01","3600","","4","1","","","","","","","","10","","-89.2","","-50","4","","","7","56.7","45","0.5","","1800","A",""
"NEON.DOM.SITE.DP0.00002.001","PRTResistance","ohm","742e5e6b-1272-448c-d2b9-ad1a4390c260","KONZ","Konza Prairie Biological Station Site, CORE","Annual","","","2000-01-01T00:00:00.000Z","","0.01","3600","","4","1","","","","","","","","10","","-89.2","","-54.4","4","","","7","56.7","46.1","0.5","","1800","A",""
"NEON.DOM.SITE.DP0.00002.001","PRTResistance","ohm","919841a2-a761-cabd-6aa2-4b36dce6a811","UKFS","The University of Kansas Field Station Site, RELOCATABLE","Annual","","","2000-01-01T00:00:00.000Z","","0.01","3600","","4","1","","","","","","","","10","","-89.2","","-50","4","","","7","56.7","45","0.5","","1800","A",""
"NEON.DOM.SITE.DP0.00002.001","PRTResistance","ohm","bde836b5-23e5-6b5e-3dd2-dc7dec365c97","GRSM","Great Smoky Mountains National Park Site, RELOCATABLE","Annual","","","2000-01-01T00:00:00.000Z","","0.01","3600","","4","1","","","","","","","","10","","-89.2","","-50","4","","","7","56.7","45","0.5","","1800","A",""
"NEON.DOM.SITE.DP0.00002.001","PRTResistance","ohm","e12716eb-c014-194e-ac63-108014e8eab5","STER","Sterling Site, RELOCATABLE","Annual","","","2000-01-01T00:00:00.000Z","","0.01","3600","","4","1","","","","","","","","10","","-89.2","","-54.4","4","","","7","56.7","46.1","0.5","","1800","A",""
"NEON.DOM.SITE.DP0.00002.001","PRTResistance","ohm","4d760d6e-21b0-c5e0-ee7c-ec00cad0ba7d","POSE","Posey Creek Site, CORE","Annual","","","2000-01-01T00:00:00.000Z","","0.01","3600","","4","1","","","","","","","","10","","-89.2","","-50","4","","","7","56.7","45","0.5","","1800","A",""
"NEON.DOM.SITE.DP0.00002.001","PRTResistance","ohm","82447ec8-e33b-12a3-ebc3-e8ac75c7047e","JORN","Jornada LTER Site, RELOCATABLE","Annual","","","2000-01-01T00:00:00.000Z","","0.01","3600","","4","1","","","","","","","","10","","-89.2","","-27","4","","","7","56.7","45","0.5","","1800","A",""
"NEON.DOM.SITE.DP0.00002.001","PRTResistance","ohm","83499054-3b7a-10d8-1412-72e65c0cdced","BART","Bartlett Experimental Forest Site, RELOCATABLE","Annual","","","2000-01-01T00:00:00.000Z","","0.01","3600","","4","1","","","","","","","","10","","-89.2","","-50","4","","","7","56.7","45","0.5","","1800","A",""
"NEON.DOM.SITE.DP0.00002.001","PRTResistance","ohm","700a3920-b842-79b1-a013-506780cb572b","OSBS","Ordway-Swisher Biological Station Site, CORE","Annual","","","2000-01-01T00:00:00.000Z","","0.01","3600","","4","1","","","","","","","","10","","-89.2","","-27.2","4","","","7","56.7","44.4","0.5","","1800","A",""
"NEON.DOM.SITE.DP0.00002.001","PRTResistance","ohm","e3c414bb-e5ab-5e11-2247-b8701c7924ba","JERC","Jones Ecological Research Center Site, RELOCATABLE","Annual","","","2000-01-01T00:00:00.000Z","","0.01","3600","","4","1","","","","","","","","10","","-89.2","","-27","4","","","7","56.7","45","0.5","","1800","A",""
"NEON.DOM.SITE.DP0.00002.001","PRTResistance","ohm","6dbbc39b-6ab8-3eae-a487-d8490e0386d4","TREE","Treehaven Site, RELOCATABLE","Annual","","","2000-01-01T00:00:00.000Z","","0.01","3600","","4","1","","","","","","","","10","","-89.2","","-50","4","","","7","56.7","45","0.5","","1800","A",""
"NEON.DOM.SITE.DP0.00002.001","PRTResistance","ohm","3414be6c-c816-0c4d-56ac-cee479e80a24","NIWO","Niwot Ridge Mountain Research Station Site, CORE","Annual","","","2000-01-01T00:00:00.000Z","","0.01","3600","","4","1","","","","","","","","10","","-89.2","","-50","4","","","7","56.7","45","0.5","","1800","A",""
"NEON.DOM.SITE.DP0.00002.001","PRTResistance","ohm","545c1b9d-55d5-78a9-1376-ac0edd22ce67","STEI","Steigerwaldt Land Services Site, RELOCATABLE","Annual","","","2000-01-01T00:00:00.000Z","","0.01","3600","","4","1","","","","","","","","10","","-89.2","","-50","4","","","7","56.7","45","0.5","","1800","A",""
"NEON.DOM.SITE.DP0.00002.001","PRTResistance","ohm","d89d1e43-a4d7-dbd9-953d-ac9b027b26cb","YELL","Yellowstone National Park Site, CORE","Annual","","","2000-01-01T00:00:00.000Z","","0.01","3600","","4","1","","","","","","","","10","","-89.2","","-50","4","","","7","56.7","45","0.5","","1800","A",""
"NEON.DOM.SITE.DP0.00002.001","PRTResistance","ohm","ea130187-107b-4dad-c3b7-aae6ba10b5a8","ARIK","Arikaree River Site, CORE","Annual","","","2000-01-01T00:00:00.000Z","","0.01","3600","","4","1","","","","","","","","10","","-89.2","","-50","4","","","7","56.7","45","0.5","","1800","A",""
"NEON.DOM.SITE.DP0.00002.001","PRTResistance","ohm","c8d3a0ab-8e81-39e6-95d1-8c791834a108","DCFS","Dakota Coteau Field School Site, RELOCATABLE","Annual","","","2000-01-01T00:00:00.000Z","","0.01","3600","","4","1","","","","","","","","10","","-89.2","","-50","4","","","7","56.7","45","0.5","","1800","A",""
